sample_name,taxon_lineage,url
MGYG000000001,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp902362365,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000001/downloads/MGYG000000001.gff
MGYG000000002,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000002/downloads/MGYG000000002.gff
MGYG000000003,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000003/downloads/MGYG000000003.gff
MGYG000000004,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000004/downloads/MGYG000000004.gff
MGYG000000005,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus_A,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000005/downloads/MGYG000000005.gff
MGYG000000006,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000006/downloads/MGYG000000006.gff
MGYG000000007,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000007/downloads/MGYG000000007.gff
MGYG000000008,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000008/downloads/MGYG000000008.gff
MGYG000000009,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000009/downloads/MGYG000000009.gff
MGYG000000010,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus_A;s__Staphylococcus_A lentus,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000010/downloads/MGYG000000010.gff
